loss,acc,val_loss,val_acc
,,,
1.0927,0.618,0.6271,0.7511
,,,
0.6007,0.7505,0.9166,0.6367
,,,
0.5192,0.7887,0.8995,0.6778
,,,
0.4886,0.8047,0.7325,0.7289
,,,
0.423,0.8293,0.5475,0.7878
,,,
0.4546,0.8185,0.5735,0.7678
,,,
0.4115,0.8373,0.5734,0.77
,,,
0.3883,0.8497,0.6076,0.7778
,,,
0.3894,0.8487,0.6252,0.7533
,,,
0.3424,0.8653,0.558,0.7856
,,,
0.3634,0.8527,0.6129,0.7756
,,,
0.33,0.8712,0.5869,0.7822
,,,
0.2743,0.8972,0.5965,0.7822
,,,
0.3168,0.8797,0.6947,0.7611
,,,
0.2551,0.905,0.6918,0.76
,,,
0.252,0.9005,0.6906,0.7378
,,,
0.2655,0.9037,0.6077,0.7844
,,,
0.2431,0.9082,0.6836,0.7733
,,,
0.2075,0.9193,0.6657,0.7689
,,,
0.2513,0.9025,0.6524,0.7867
,,,
0.2553,0.8983,0.7202,0.7733
,,,
0.2144,0.9188,0.6862,0.78
,,,
0.1817,0.937,0.6651,0.79
,,,
0.1677,0.9375,0.8599,0.7456
,,,
0.1855,0.9312,0.807,0.7444
,,,
0.1683,0.9378,0.7863,0.7633
,,,
0.1802,0.9328,0.8034,0.7511
,,,
0.2458,0.904,0.7227,0.7767
,,,
0.1724,0.9363,0.7942,0.7656
,,,
0.1847,0.9282,0.7144,0.7711
,,,
0.132,0.9535,0.7403,0.7567
,,,
0.1392,0.9522,0.7432,0.7711
,,,
0.1368,0.9502,0.7866,0.78
,,,
0.15,0.9485,0.7951,0.7622
,,,
0.1337,0.9523,0.8566,0.7622
,,,
0.1265,0.9565,1.0168,0.7478
,,,
0.1427,0.9472,1.1235,0.7211
,,,
0.0963,0.966,0.986,0.7622
,,,
0.1612,0.9415,0.8626,0.7789
,,,
0.0843,0.9713,1.0521,0.7222
